"Project","SDG","Frequency"
"P079032","Water",6
"P079032","Climate mitigation",2
"P079032","Climate adaptation",1
"P079032","Pollution prevention",1
"P085375","Water",22
"P085375","Climate adaptation",1
"P085375","Climate mitigation",1
"P086592","Water",11
"P086592","Climate adaptation",1
"P086592","Climate mitigation",1
"P088799","Climate adaptation",4
"P088799","Water",3
"P088799","Biodiversity",2
"P088799","Climate mitigation",1
"P088966","Water",9
"P088966","Circular economy",1
"P088966","Climate adaptation",1
"P089985","Water",4
"P089985","Climate adaptation",1
"P090990","Climate adaptation",2
"P092218","Water",2
"P093765","Climate mitigation",13
"P093765","Water",8
"P093765","Climate adaptation",1
"P093765","Pollution prevention",1
"P093775","Water",20
"P093775","Pollution prevention",4
"P093775","Climate adaptation",2
"P093775","Climate mitigation",1
"P096124","Climate mitigation",4
"P096124","Water",3
"P096124","Biodiversity",2
"P096124","Climate adaptation",1
"P096124","Pollution prevention",1
"P096481","Water",5
"P096481","Climate adaptation",1
"P096481","Climate mitigation",1
"P096532","Water",14
"P096532","Climate adaptation",3
"P096532","Biodiversity",1
"P099270","Climate adaptation",4
"P099270","Water",2
"P099270","Climate mitigation",1
"P101103","Climate mitigation",3
"P101103","Pollution prevention",1
